OBJECTID,Sistema_de_Transporte,PK,POINT_M,NEAR_FID,NEAR_DIST,GlobalID,Latitud,Longitud
70,Naftaducto Chichimene-Apiay | Chichimene-Apiay 10,K19+000,19000.0000000002,46,0.332259882888361,{F8068DC1-5361-43AD-AC9A-573733E257AC},4.0191452389811,-73.55172470325
71,Poliducto Galan - Chimita | Galan - Lizama,K12+500,12500.0000000002,66,0.019996710686508,{72240E82-3034-4C58-A42E-036873850510},7.08798423501176,-73.8537763480311
72,Poliducto ODECA | Cartago-Zarzal,K26+000,26000,62,0.042535162937426,{8A6E4ED8-F1E5-4448-BE66-54A9CE6D3B02},4.51907235766178,-76.0100193324833
73,Poliandino | Monterrey - Apiay,K206+000,206000,56,0.003442370822749,{8D10C529-424F-4D4F-84AD-4CF15CEB0E2A},4.43055229586811,-73.1953575730324
74,Poliducto ODECA | Salgar-Mariquita,K0+500,500.000000000232,27,0.675634848862869,{F7277304-1ECB-4B7E-883E-304F7DB2F6D3},5.44977111164776,-74.6314950301053
75,Poliducto Galan - Chimita | Galan - Lizama,K20+000,20000,66,0.47513903229118,{D960E43E-6D57-4925-81C9-D9883C6CB40C},7.08645410240489,-73.8318990080338
76,Poliducto Medellin-Cartago-Yumbo | Medellin - La Felisa,K92+500,92500.0000000002,112,6.25992206145732,{31C0F658-2CBA-46D3-945E-58091A0F41DC},5.75710565797735,-75.6256820454372
77,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K35+000,35000,52,0.532529586899627,{4618AD2F-0991-4355-AB23-D3BCA46C3320},10.8940310610861,-74.1549557617968
78,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K142+500,142500,52,0.57738045715049,{7EACDB0F-F32E-4AD0-A798-5FFD09E7FB37},10.0160922980953,-73.9056591959183
79,Poliducto ODECA | Lucerna-Guacari,K87+000,87000.0000000004,28,0.27217396378512,{CE20A88F-FB15-4598-916F-3D887841BFE0},4.06446442446473,-76.1796558872134
80,Poliducto Buenaventura - Yumbo | Buenaventura - Gallineros,K6+000,6000.00000000023,49,0.596709504773308,{35345C1D-F7D8-41E3-88B2-33275355626D},3.89080342079869,-77.0170582910264
81,Poliducto Medellin-Cartago-Yumbo | Cartago-Yumbo,K94+500,94500,71,1.23753723208971,{2C48F68D-8C00-45EB-B9C1-C8B2FE4DCA26},3.99831568439728,-76.2114012755911
82,"Poliducto Galan - Salgar de 12"""" | Sebastopol - Salgar 12""""",K205+000,205000,110,0.105872737583505,{39C69D56-52EE-4ECE-9F9E-2A4CA3470C84},5.85541366686157,-74.6247605998513
83,"Poliducto Galan - Salgar de 16"""" | Sebastopol - Salgar 16""""",K161+500,161500,65,0.16358862759192,{7F07F5C1-9DC9-41A8-BD18-EFE427CEFA34},6.17343443002081,-74.5630548618524
84,"Poliducto Galan - Salgar de 12"""" | Galan Sebastopol 12""""",K67+000,67000,67,0.385367899025069,{33B3352A-65F3-48FD-98FA-CF729C8A00A7},6.6771520710453,-74.0229909269554
85,Poliducto de Oriente | Sebastopol - Santa Rosa,K51+000,51000,45,1.45626792472494,{384CEC55-FFE9-456D-BC04-97F7D1CD2E55},6.33275111372767,-74.0402488604756
86,Poliducto Medellin-Cartago-Yumbo | La Felisa - Cartago,K176+500,176500,31,0.209492508076656,{F664A39E-32F5-447A-B1D0-B9B52A40F9B5},5.09829638432291,-75.6892660269804
87,Poliducto Galan - Chimita | Galan - Lizama,K112+500,112500,66,3.05984041233554,{C9E27759-C750-48F0-928F-93B1B9E59F5C},7.12524808093828,-73.5768856115438
88,Poliducto Pozos Colorados - Ayacucho - Galán | Ayacucho - Galán,K424+000,424000,64,0.148181381330473,{D05F0850-2DAC-44D6-838A-449140968CCF},7.72209923130316,-73.519428704491
89,Poliducto Medellin-Cartago-Yumbo | La Felisa - Cartago,K141+500,141500,31,2.15974857028761,{A3E2EDEC-272F-4C8B-8C24-526252EC8B2B},5.36767023313242,-75.6146746684158
90,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K93+500,93500,52,0.09207689355096,{87B49745-2D79-45A4-B7BB-12FB77589AD0},10.4046803722913,-74.0887355494857
91,Poliducto ODECA | Manizales-Cartago,K183+500,183500,107,1.65034937401559,{8DF921B2-EA63-4CE2-8E84-C9F60D93281E},4.82761276314817,-75.7391008315832
92,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K207+000,207000,52,0.89359014746958,{366C6B50-15BB-40F4-95F8-DC078BFCF2CA},9.53748870994224,-73.6059902519957
